income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,dti_ratio,total_assets,asset_coverage,affordability_index
9600000,29900000,12,778,2400000,17600000,22700000,8000000,0,3.1145833333333335,50700000,1.6956521739130435,3.8528428093645486
4100000,12200000,8,417,2700000,2200000,8800000,3300000,1,2.975609756097561,17000000,1.3934426229508197,2.6885245901639343
9100000,29700000,20,506,7100000,4500000,33300000,12800000,1,3.2637362637362637,57700000,1.9427609427609427,6.127946127946128
8200000,30700000,8,467,18200000,3300000,23300000,7900000,1,3.7439024390243905,52700000,1.716612377850163,2.1368078175895766
9800000,24200000,20,382,12400000,8200000,29400000,5000000,1,2.4693877551020407,55000000,2.272727272727273,8.099173553719009
4800000,13500000,10,319,6800000,8300000,13700000,5100000,1,2.8125,33900000,2.511111111111111,3.5555555555555554
8700000,33000000,4,678,22500000,14800000,29200000,4300000,0,3.793103448275862,70800000,2.1454545454545455,1.0545454545454545
5700000,15000000,20,382,13200000,5700000,11800000,6000000,1,2.6315789473684212,36700000,2.4466666666666668,7.6
800000,2200000,20,782,1300000,800000,2800000,600000,0,2.75,5500000,2.5,7.2727272727272725
1100000,4300000,10,388,3200000,1400000,3300000,1600000,1,3.909090909090909,9500000,2.2093023255813953,2.558139534883721
2900000,11200000,2,547,8100000,4700000,9500000,3100000,0,3.8620689655172415,25400000,2.267857142857143,0.5178571428571429
6700000,22700000,18,538,15300000,5800000,20400000,6400000,1,3.388059701492537,47900000,2.1101321585903086,5.312775330396477
5000000,11600000,16,311,6400000,9600000,14600000,4300000,1,2.32,34900000,3.0086206896551726,6.896551724137931
9100000,31500000,14,679,10800000,16600000,20900000,5000000,0,3.4615384615384617,53300000,1.692063492063492,4.044444444444444
1900000,7400000,6,469,1900000,1200000,5900000,1900000,1,3.8947368421052633,10900000,1.472972972972973,1.5405405405405406
4700000,10700000,10,794,5700000,3900000,16400000,4400000,0,2.276595744680851,30400000,2.8411214953271027,4.392523364485982
500000,1600000,4,663,1300000,100000,1300000,700000,0,3.2,3400000,2.125,1.25
2900000,9400000,14,780,2900000,2800000,6700000,4300000,0,3.2413793103448274,16700000,1.7765957446808511,4.319148936170213
2700000,10300000,10,736,1000000,0,6200000,3300000,0,3.814814814814815,10500000,1.0194174757281553,2.621359223300971
6300000,14600000,12,652,10300000,3500000,23500000,5900000,0,2.3174603174603177,43200000,2.958904109589041,5.178082191780821
5000000,19400000,12,315,9500000,1600000,18000000,6100000,1,3.88,35200000,1.8144329896907216,3.092783505154639
5800000,14000000,16,530,3800000,11300000,22200000,5400000,1,2.413793103448276,42700000,3.05,6.628571428571429
6500000,25700000,18,311,13100000,1700000,19500000,8500000,1,3.953846153846154,42800000,1.6653696498054475,4.552529182879377
500000,1400000,2,551,900000,600000,1100000,300000,0,2.8,2900000,2.0714285714285716,0.7142857142857143
4900000,9800000,16,324,3800000,8700000,10000000,3300000,1,2.0,25800000,2.63265306122449,8.0
3100000,9500000,20,514,7900000,3100000,6600000,2600000,1,3.064516129032258,20200000,2.126315789473684,6.526315789473684
8200000,28100000,12,696,11500000,10600000,25300000,7200000,0,3.426829268292683,54600000,1.9430604982206405,3.5017793594306053
2400000,5600000,4,662,4500000,4200000,5400000,2500000,0,2.3333333333333335,16600000,2.9642857142857144,1.7142857142857142
7000000,24000000,6,336,2300000,11900000,27500000,9700000,1,3.4285714285714284,51400000,2.1416666666666666,1.75
9000000,31500000,10,850,21800000,12400000,33700000,8000000,0,3.5,75900000,2.4095238095238094,2.857142857142857
9800000,25300000,12,313,20200000,5200000,25500000,9300000,1,2.5816326530612246,60200000,2.3794466403162056,4.648221343873518
5700000,12000000,6,363,3600000,7400000,21700000,4300000,1,2.1052631578947367,37000000,3.0833333333333335,2.85
800000,1600000,10,436,700000,200000,2200000,1000000,1,2.0,4100000,2.5625,5.0
8400000,22000000,2,830,3800000,3900000,19900000,5400000,0,2.619047619047619,33000000,1.5,0.7636363636363637
4900000,11900000,8,612,9700000,1200000,19000000,5800000,0,2.4285714285714284,35700000,3.0,3.2941176470588234
1700000,3400000,8,691,2700000,2800000,6000000,900000,0,2.0,12400000,3.6470588235294117,4.0
1600000,6200000,18,636,3400000,700000,5300000,1400000,0,3.875,10800000,1.7419354838709677,4.645161290322581
8000000,27200000,6,348,6400000,300000,16700000,7100000,1,3.4,30500000,1.1213235294117647,1.7647058823529413
3600000,7700000,16,830,7000000,1300000,10000000,2900000,0,2.138888888888889,21200000,2.7532467532467533,7.48051948051948
1500000,5100000,6,352,100000,200000,5600000,900000,1,3.4,6800000,1.3333333333333333,1.7647058823529411
7800000,18100000,2,712,8600000,11200000,21700000,9000000,0,2.3205128205128207,50500000,2.7900552486187844,0.861878453038674
9100000,24900000,16,822,22300000,12100000,31000000,5200000,0,2.7362637362637363,70600000,2.8353413654618476,5.847389558232932
1400000,3400000,6,540,200000,1500000,3900000,800000,1,2.4285714285714284,6400000,1.8823529411764706,2.4705882352941178
800000,2300000,12,342,2200000,1300000,1800000,800000,1,2.875,6100000,2.652173913043478,4.173913043478261
6500000,13400000,18,787,18200000,300000,16200000,5400000,0,2.0615384615384613,40100000,2.9925373134328357,8.731343283582088
8000000,27800000,16,331,13000000,6300000,21400000,10900000,1,3.475,51600000,1.856115107913669,4.60431654676259
4200000,14600000,6,679,2400000,6900000,8700000,4900000,0,3.4761904761904763,22900000,1.5684931506849316,1.7260273972602738
4900000,19100000,14,677,5400000,9100000,17700000,6500000,0,3.8979591836734695,38700000,2.026178010471204,3.5916230366492146
5500000,20500000,12,634,800000,8600000,18500000,8200000,0,3.727272727272727,36100000,1.7609756097560976,3.2195121951219514
9500000,19100000,16,662,100000,10500000,37700000,11700000,0,2.0105263157894737,60000000,3.141361256544503,7.958115183246074
7300000,25400000,16,502,500000,1800000,20500000,10500000,1,3.4794520547945207,33300000,1.311023622047244,4.5984251968503935
8700000,24700000,10,435,6800000,3500000,21800000,11300000,1,2.839080459770115,43400000,1.757085020242915,3.522267206477733
3800000,7600000,4,689,8700000,100000,9300000,3400000,0,2.0,21500000,2.8289473684210527,2.0
8400000,23000000,12,657,15400000,14800000,31900000,8200000,0,2.738095238095238,70300000,3.0565217391304347,4.3826086956521735
5100000,19700000,20,590,7400000,9300000,19400000,3400000,0,3.8627450980392157,39500000,2.00507614213198,5.177664974619289
6700000,24500000,12,818,1200000,5600000,16300000,6200000,0,3.656716417910448,29300000,1.1959183673469387,3.2816326530612243
4300000,10600000,18,431,2100000,1500000,9300000,5200000,1,2.4651162790697674,18100000,1.7075471698113207,7.30188679245283
9300000,30500000,18,841,19300000,10300000,34600000,8700000,0,3.2795698924731185,72900000,2.3901639344262295,5.488524590163935
7400000,18400000,20,421,18500000,9100000,17500000,4100000,1,2.4864864864864864,49200000,2.6739130434782608,8.043478260869565
5500000,18200000,16,797,-100000,4900000,18600000,4800000,0,3.309090909090909,28200000,1.5494505494505495,4.835164835164835
8500000,18900000,18,478,23800000,16300000,25900000,11400000,1,2.223529411764706,77400000,4.095238095238095,8.095238095238095
9600000,30500000,18,669,4700000,1900000,26500000,9300000,0,3.1770833333333335,42400000,1.3901639344262295,5.665573770491803
8800000,28900000,6,365,24400000,8600000,27400000,4700000,1,3.284090909090909,65100000,2.2525951557093427,1.8269896193771624
3300000,7500000,20,586,1600000,5600000,10500000,2900000,0,2.272727272727273,20600000,2.7466666666666666,8.8
3900000,12300000,18,784,7600000,6900000,13100000,2800000,0,3.1538461538461537,30400000,2.4715447154471546,5.7073170731707314
4100000,10300000,12,364,9500000,6100000,14900000,2800000,1,2.5121951219512195,33300000,3.233009708737864,4.776699029126213
8300000,29100000,10,715,6100000,11900000,24100000,11900000,0,3.5060240963855422,54000000,1.8556701030927836,2.852233676975945
2700000,10100000,20,693,200000,1700000,5900000,1400000,1,3.740740740740741,9200000,0.9108910891089109,5.346534653465347
5600000,12400000,4,777,5500000,3100000,11800000,5500000,0,2.2142857142857144,25900000,2.088709677419355,1.8064516129032258
1900000,5000000,12,312,4000000,2800000,4900000,2400000,1,2.6315789473684212,14100000,2.82,4.56
500000,1500000,20,340,100000,200000,1900000,600000,1,3.0,2800000,1.8666666666666667,6.666666666666667
5300000,18600000,4,386,2700000,9700000,11900000,4200000,0,3.509433962264151,28500000,1.532258064516129,1.1397849462365592
7000000,18300000,4,418,18400000,11700000,21500000,7600000,1,2.6142857142857143,59200000,3.2349726775956285,1.530054644808743
5800000,16700000,16,735,3900000,9400000,12600000,5600000,0,2.8793103448275863,31500000,1.8862275449101797,5.5568862275449105
2600000,8400000,6,494,6500000,3800000,5600000,2000000,1,3.230769230769231,17900000,2.130952380952381,1.8571428571428572
1900000,6500000,18,671,600000,2500000,4800000,1100000,0,3.4210526315789473,9000000,1.3846153846153846,5.2615384615384615
5700000,14800000,16,697,14300000,7800000,12900000,6300000,0,2.5964912280701755,41300000,2.7905405405405403,6.162162162162162
9000000,33500000,8,801,11600000,8900000,35400000,11100000,0,3.7222222222222223,67000000,2.0,2.1492537313432836
8500000,29400000,12,576,17600000,5600000,25200000,9000000,0,3.458823529411765,57400000,1.9523809523809523,3.4693877551020407
700000,1400000,14,639,1900000,700000,2400000,900000,0,2.0,5900000,4.214285714285714,7.0
3500000,8900000,4,470,1300000,2200000,12300000,2000000,1,2.5428571428571427,17800000,2.0,1.5730337078651686
8800000,31200000,4,826,2900000,500000,33300000,8600000,0,3.5454545454545454,45300000,1.4519230769230769,1.1282051282051282
9900000,21200000,16,363,25500000,11400000,26600000,6800000,1,2.1414141414141414,70300000,3.3160377358490565,7.471698113207547
3600000,8600000,20,613,9400000,300000,10300000,3300000,0,2.388888888888889,23300000,2.7093023255813953,8.372093023255815
3000000,8200000,16,713,5300000,5800000,11000000,3400000,0,2.7333333333333334,25500000,3.1097560975609757,5.853658536585366
6800000,21200000,16,439,17100000,4700000,23300000,3600000,1,3.1176470588235294,48700000,2.297169811320755,5.132075471698113
1100000,3800000,18,387,1300000,1200000,3800000,1600000,1,3.4545454545454546,7900000,2.0789473684210527,5.2105263157894735
8700000,28300000,8,402,20400000,13600000,27900000,10200000,1,3.2528735632183907,72100000,2.547703180212014,2.4593639575971733
2000000,8000000,6,837,5100000,2600000,3900000,2900000,0,4.0,14500000,1.8125,1.5
9800000,37600000,10,641,24100000,0,23400000,7600000,0,3.836734693877551,55100000,1.4654255319148937,2.606382978723404
5700000,21100000,18,489,500000,4300000,12500000,6000000,1,3.7017543859649122,23300000,1.1042654028436019,4.862559241706161
8800000,20700000,18,540,19200000,3200000,22400000,12700000,1,2.352272727272727,57500000,2.7777777777777777,7.6521739130434785
3800000,8900000,4,844,9100000,3500000,13100000,4700000,0,2.3421052631578947,30400000,3.4157303370786516,1.7078651685393258
1700000,6400000,10,452,900000,1100000,5600000,2100000,1,3.764705882352941,9700000,1.515625,2.65625
1000000,2000000,10,366,1200000,400000,3200000,1300000,1,2.0,6100000,3.05,5.0
300000,1100000,2,300,100000,500000,700000,400000,0,3.6666666666666665,1700000,1.5454545454545454,0.5454545454545454
6600000,15000000,18,470,1200000,4800000,18200000,7000000,1,2.272727272727273,31200000,2.08,7.92
8700000,25000000,20,861,14700000,8500000,23200000,7300000,0,2.8735632183908044,53700000,2.148,6.96
9400000,29400000,12,562,25900000,15200000,36400000,7100000,0,3.127659574468085,84600000,2.877551020408163,3.836734693877551
4400000,10800000,14,463,2400000,4800000,13800000,4700000,1,2.4545454545454546,25700000,2.3796296296296298,5.703703703703703
400000,900000,12,478,700000,100000,1200000,100000,1,2.25,2100000,2.3333333333333335,5.333333333333333
300000,1100000,2,702,300000,200000,500000,200000,0,3.6666666666666665,1200000,1.0909090909090908,0.5454545454545454
4300000,12900000,20,618,11400000,3600000,11400000,2400000,0,3.0,28800000,2.2325581395348837,6.666666666666667
1600000,4500000,12,633,700000,1700000,4100000,1900000,0,2.8125,8400000,1.8666666666666667,4.266666666666667
6200000,23600000,10,331,18500000,10300000,23800000,8700000,1,3.806451612903226,61300000,2.597457627118644,2.6271186440677967
4200000,9700000,16,841,7800000,300000,16700000,5100000,0,2.3095238095238093,29900000,3.082474226804124,6.927835051546392
9000000,18100000,12,764,600000,16500000,20800000,11600000,0,2.011111111111111,49500000,2.734806629834254,5.9668508287292825
2700000,10600000,6,591,1300000,2700000,9900000,1800000,0,3.925925925925926,15700000,1.4811320754716981,1.5283018867924527
9700000,35900000,2,719,19600000,7600000,20400000,10900000,0,3.7010309278350517,58500000,1.6295264623955432,0.5403899721448467
3300000,6800000,14,317,3400000,300000,11700000,3600000,1,2.0606060606060606,19000000,2.7941176470588234,6.794117647058823
300000,1100000,8,778,800000,200000,900000,100000,0,3.6666666666666665,2000000,1.8181818181818181,2.1818181818181817
7400000,18200000,14,302,5600000,3100000,17900000,5000000,1,2.4594594594594597,31600000,1.7362637362637363,5.6923076923076925
7100000,19700000,8,502,7300000,5600000,25300000,9800000,1,2.7746478873239435,48000000,2.436548223350254,2.883248730964467
7300000,22100000,18,879,19500000,10600000,19300000,9800000,0,3.0273972602739727,59200000,2.678733031674208,5.9457013574660635
